timestamp,rssi,ping,loss,jitter,speed,network_usage,hour,label
2026-03-26 22:23:53.804011,-41,35.6,0.0,21.1,5.8,3861822264,22,1
2026-03-26 22:23:53.804030,-42,171.4,25.0,374.4,5.8,3888371647,22,1
2026-03-26 22:23:53.804049,-41,23.0,0.0,9.2,5.8,3911383281,22,1
2026-03-26 22:23:53.804067,-42,43.9,0.0,10.1,5.8,3933539727,22,1
2026-03-26 22:23:53.804085,-42,40.2,0.0,7.0,5.8,3956538688,22,1
2026-03-26 22:23:53.804104,-42,32.5,0.0,12.2,5.8,3979688940,22,1
2026-03-26 22:23:53.804122,-42,36.8,0.0,11.2,5.8,4004428187,22,1
2026-03-26 22:23:53.804140,-42,38.5,0.0,20.7,5.8,4028280247,22,1
2026-03-26 22:23:53.804159,-41,67.2,0.0,41.1,6.47,4051293329,22,1
2026-03-26 22:23:53.804178,-42,50.4,0.0,32.8,6.47,4173384411,22,1
2026-03-26 22:23:53.804196,-42,56.9,25.0,22.5,6.47,4198776768,22,1
2026-03-26 22:23:53.804215,-42,143.0,0.0,137.5,6.47,4211719191,22,1
2026-03-26 22:23:53.804234,-42,34.2,0.0,10.1,6.47,4235014451,22,1
2026-03-26 22:23:53.804252,-42,31.9,0.0,9.1,6.47,4259662515,22,1
2026-03-26 22:23:53.804271,-42,68.3,25.0,124.0,6.47,4284560614,22,1
2026-03-26 22:23:53.804290,-42,44.2,0.0,18.9,6.47,4301366071,22,1
2026-03-26 22:23:53.804308,-42,32.0,0.0,6.9,6.47,4318901836,22,1
2026-03-26 22:23:53.804326,-42,40.8,0.0,6.2,6.47,4341712050,22,1
2026-03-26 22:23:53.804345,-42,36.1,0.0,23.1,9.41,4363813246,22,1
2026-03-26 22:23:53.804363,-42,30.9,0.0,16.6,9.41,4475481661,22,1
2026-03-26 22:23:53.804381,-42,23.8,0.0,8.0,9.41,4498044720,22,1
2026-03-26 22:23:53.804400,-42,30.5,0.0,12.4,9.41,4520538333,22,1
2026-03-26 22:23:53.804419,-42,33.0,0.0,22.3,9.41,4544944223,22,1
2026-03-26 22:23:53.804437,-42,19.2,0.0,25.3,9.41,4563834319,22,1
2026-03-26 22:23:53.804456,-42,39.1,0.0,40.8,9.41,4574687987,22,1
2026-03-26 22:23:53.804474,-42,34.5,25.0,20.1,9.41,4586560472,22,1
2026-03-26 22:23:53.804493,-42,10.7,0.0,3.7,9.41,4599584434,22,1
2026-03-26 22:23:53.804514,-42,16.4,0.0,6.0,9.41,4617102236,22,1
2026-03-26 22:23:53.804534,-42,72.6,0.0,48.1,26.62,4630997670,22,1
2026-03-26 22:23:53.804554,-42,22.4,0.0,10.9,26.62,4690916530,22,0
2026-03-26 22:23:53.804575,-42,12.6,0.0,5.4,26.62,4703994201,22,0
2026-03-26 22:23:53.804595,-42,16.7,0.0,16.4,26.62,4716488292,22,0
2026-03-26 22:23:53.804616,-42,9.8,0.0,1.3,26.62,4723433396,22,0
2026-03-26 22:23:53.804637,-42,10.3,0.0,2.5,26.62,4723494959,22,0
2026-03-26 22:23:53.804657,-42,10.5,0.0,1.6,26.62,4723507275,22,0
2026-03-26 22:23:53.804687,-42,14.5,0.0,5.8,26.62,4723557511,22,0
2026-03-26 22:23:53.804707,-42,12.8,0.0,4.2,26.62,4723587433,22,0
2026-03-26 22:23:53.804727,-42,11.1,0.0,2.5,26.62,4723593396,22,0
2026-03-26 22:23:53.804748,-42,17.0,0.0,3.8,30.48,4723607670,22,0
2026-03-26 22:23:53.804768,-42,12.1,0.0,1.1,30.48,4764946210,22,0
2026-03-26 22:23:53.804788,-41,15.4,0.0,3.1,30.48,4764952841,22,0
2026-03-26 22:23:53.804831,-42,11.4,0.0,2.7,30.48,4764955209,22,0
2026-03-26 22:23:53.804852,-42,12.7,0.0,8.3,30.48,4764979316,22,0
2026-03-26 22:23:53.804872,-42,26.4,0.0,10.8,30.48,4764994343,22,0
2026-03-26 22:23:53.804893,-42,18.3,0.0,4.2,30.48,4764996260,22,0
2026-03-26 22:23:53.804913,-39,12.0,0.0,2.8,30.48,4765044936,22,0
2026-03-26 22:23:53.804934,-43,11.7,25.0,1.8,30.48,4765052847,22,1
2026-03-26 22:23:53.804954,-42,13.5,0.0,5.7,30.48,4765088911,22,0
2026-03-26 22:23:53.804974,-42,18.7,0.0,5.5,23.15,4765104746,22,0
2026-03-26 22:23:53.804994,-42,71.1,0.0,26.1,23.15,4798149048,22,0
2026-03-26 22:23:53.805015,-42,13.4,0.0,2.6,23.15,4798154690,22,0
2026-03-26 22:23:53.805035,-43,28.6,0.0,9.7,23.15,4798157796,22,0
2026-03-26 22:23:53.805056,-42,12.4,25.0,4.2,23.15,4798173924,22,1
2026-03-26 22:23:53.805075,-42,15.1,0.0,5.5,23.15,4798202380,22,0
2026-03-26 22:23:53.805096,-42,14.4,0.0,2.4,23.15,4798211963,22,0
2026-03-26 22:23:53.805116,-42,31.3,0.0,10.2,23.15,4798229551,22,0
2026-03-26 22:23:53.805135,-43,13.0,0.0,3.1,23.15,4798245294,22,0
2026-03-26 22:23:53.805156,-42,11.4,0.0,4.5,23.15,4798269407,22,0
2026-03-26 22:23:53.805176,-43,28.6,0.0,13.3,20.48,4798347104,22,0
2026-03-26 22:23:53.805196,-42,8.9,0.0,1.7,20.48,4826939481,22,0
2026-03-26 22:23:53.805216,-42,11.9,0.0,2.9,20.48,4826992514,22,0
2026-03-26 22:23:53.805236,-42,14.7,0.0,5.6,20.48,4827049462,22,0
2026-03-26 22:23:53.805255,-42,14.3,0.0,4.7,20.48,4827101808,22,0
2026-03-26 22:23:53.805275,-42,18.6,0.0,6.8,20.48,4827134850,22,0
2026-03-26 22:23:53.805295,-42,13.0,0.0,3.8,20.48,4827157258,22,0
2026-03-26 22:23:53.805314,-42,13.1,0.0,6.1,20.48,4827187636,22,0
2026-03-26 22:23:53.805334,-42,11.7,0.0,1.7,20.48,4827189629,22,0
2026-03-26 22:23:53.805353,-42,10.5,0.0,3.7,20.48,4827225484,22,0
2026-03-26 22:23:53.805373,-42,14.4,0.0,5.5,23.73,4827227817,22,0
2026-03-26 22:23:53.805393,-42,10.0,0.0,0.7,23.73,4860545591,22,0
2026-03-26 22:23:53.805413,-42,12.3,0.0,4.9,23.73,4860551961,22,0
2026-03-26 22:23:53.805432,-42,15.5,0.0,5.3,23.73,4860566443,22,0
2026-03-26 22:23:53.805450,-42,48.2,0.0,27.0,23.73,4860581921,22,0
2026-03-26 22:23:53.805469,-41,11.3,0.0,1.1,23.73,4860586704,22,0
2026-03-26 22:23:53.805487,-42,13.0,0.0,2.3,23.73,4860610054,22,0
2026-03-26 22:23:53.805505,-42,15.8,0.0,4.7,23.73,4860611402,22,0
2026-03-26 22:23:53.805523,-42,13.0,0.0,1.5,23.73,4860614194,22,0
2026-03-26 22:23:53.805542,-42,12.0,0.0,5.0,23.73,4860662479,22,0
2026-03-26 22:23:53.805560,-42,13.1,0.0,2.7,24.82,4860698852,22,0
2026-03-26 22:23:53.805578,-42,20.0,0.0,13.6,24.82,4895552209,22,0
2026-03-26 22:23:53.805597,-42,13.4,0.0,6.1,24.82,4895577795,22,0
2026-03-26 22:23:53.805615,-42,13.1,0.0,5.3,24.82,4895602986,22,0
2026-03-26 22:23:53.805633,-42,12.1,0.0,1.9,24.82,4895604409,22,0
2026-03-26 22:23:53.805651,-42,24.1,0.0,10.3,24.82,4895647079,22,0
2026-03-26 22:23:53.805676,-42,13.3,0.0,3.4,24.82,4895661047,22,0
2026-03-26 22:23:53.805694,-42,12.4,0.0,2.0,24.82,4895708296,22,0
2026-03-26 22:23:53.805713,-42,16.5,0.0,3.7,24.82,4895711548,22,0
2026-03-26 22:23:53.805733,-42,12.2,0.0,2.0,24.82,4895714280,22,0
2026-03-26 22:23:53.805751,-42,22.8,0.0,4.1,16.4,4895715849,22,0
2026-03-26 22:23:53.805769,-42,47.3,0.0,27.6,16.4,4925061477,22,0
2026-03-26 22:23:53.805788,-42,34.3,0.0,19.1,16.4,4925071811,22,0
2026-03-26 22:23:53.805807,-42,14.9,0.0,7.5,16.4,4925093412,22,0
2026-03-26 22:23:53.805826,-41,14.4,0.0,6.5,16.4,4925171214,22,0
2026-03-26 22:23:53.805844,-42,18.7,0.0,16.9,16.4,4925189803,22,0
2026-03-26 22:23:53.805863,-42,12.6,0.0,3.5,16.4,4925202073,22,0
2026-03-26 22:23:53.805882,-42,16.4,0.0,8.9,16.4,4925204739,22,0
2026-03-26 22:23:53.805900,-42,13.9,0.0,4.4,16.4,4925209671,22,0
2026-03-26 22:23:53.805919,-41,61.9,0.0,17.0,16.4,4925248483,22,0
2026-03-26 22:23:53.805937,-41,37.6,0.0,11.7,9.86,4925250990,22,1
2026-03-26 22:23:53.805956,-41,13.4,0.0,3.3,9.86,4943117385,22,1
2026-03-26 22:23:53.805977,-41,238.1,0.0,101.1,9.86,4943157064,22,1
2026-03-26 22:23:53.805996,-41,14.0,0.0,1.7,9.86,4943159032,22,1
2026-03-26 22:23:53.806014,-41,11.8,0.0,1.0,9.86,4943160323,22,1
2026-03-26 22:23:53.806033,-41,47.7,0.0,48.7,9.86,4943164861,22,1
2026-03-26 22:23:53.806051,-41,17.3,25.0,2.9,9.86,4943170960,22,1
2026-03-26 22:23:53.806070,-42,13.4,0.0,4.2,9.86,4943267002,22,1
2026-03-26 22:23:53.806089,-42,17.9,0.0,15.8,9.86,4943304215,22,1
2026-03-26 22:23:53.806107,-42,13.8,0.0,5.3,9.86,4943326855,22,1
2026-03-26 22:23:53.806126,-42,21.8,0.0,15.1,27.17,4943339375,22,0
2026-03-26 22:23:53.806145,-42,13.4,0.0,2.9,27.17,4980699470,22,0
2026-03-26 22:23:53.806163,-41,17.0,0.0,6.2,27.17,4980747605,22,0
2026-03-26 22:23:53.806181,-42,11.6,0.0,1.7,27.17,4980753975,22,0
